,Engine Size(L),Cylinders,Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),Fuel Type_D,Fuel Type_E,Fuel Type_N,Fuel Type_X,Fuel Type_Z
1973,-0.9975964023226577,-0.8769341163215539,-0.9902381621032489,1.047516321917383,0,0,0,1,0
4403,0.9070362127185984,1.2897915940941798,0.19755494705404608,-0.4708264409540987,0,0,0,0,1
111,-0.851086201165638,-0.8769341163215539,-0.34543618856071723,0.08129820009007653,0,0,0,0,1
1170,0.32099540809051946,0.20642873888631294,-0.10787756672925845,-0.19476412043201108,0,0,0,1,0
1391,-0.851086201165638,-0.8769341163215539,-0.7526795402717895,0.6334228411342517,0,0,0,1,0
5006,-0.851086201165638,-0.8769341163215539,-0.6169317563680992,0.49539168087320795,0,0,0,1,0
220,1.5663321179251866,1.2897915940941798,0.9441677585243461,-1.022951081998274,0,0,0,1,0
4850,-0.11853519538053964,0.20642873888631294,1.0120416504761913,-1.022951081998274,0,0,0,0,1
627,0.24774030751200957,0.20642873888631294,-0.277562296608872,0.08129820009007653,0,0,0,0,1
1886,0.9070362127185984,1.2897915940941798,0.9102308125484229,-0.8849199217372301,0,0,0,0,1
2895,-0.851086201165638,-0.8769341163215539,-0.24362535063294882,-0.056732960170967274,0,0,0,0,1
83,-0.851086201165638,-0.8769341163215539,-0.6508687023440217,0.49539168087320795,0,0,0,0,1
3085,-0.338300497116069,0.20642873888631294,0.26542883900589187,-0.4708264409540987,0,0,0,1,0
790,1.2000566150326373,1.2897915940941798,0.6387352447410416,-0.7468887614761863,0,0,0,0,1
2550,-0.5580657988515988,-0.8769341163215539,-0.8884273241754804,0.9094851616563394,0,0,0,1,0
461,1.3465668161896571,1.2897915940941798,0.9102308125484229,-0.8849199217372301,0,0,0,0,1
4988,-0.4848106982730888,-0.8769341163215539,-0.9902381621032489,1.047516321917383,0,0,0,1,0
2042,0.32099540809051946,0.20642873888631294,1.9622761378020275,-1.4370445627814052,0,1,0,0,0
